"Data","Fechamento","Abertura","Máxima","Mínima","Vol.","Var%"
"26.03.2021","50,98","51,65","53,20","49,90","2,44M","-0,95%"
"25.03.2021","51,47","53,78","54,05","51,20","2,18M","-4,31%"
"24.03.2021","53,79","55,81","56,39","53,01","2,50M","-3,22%"
"23.03.2021","55,58","50,80","55,84","50,66","4,83M","8,15%"
"22.03.2021","51,39","50,88","52,73","50,20","1,44M","0,90%"
"19.03.2021","50,93","49,45","51,25","48,75","2,55M","4,58%"
"18.03.2021","48,70","51,25","51,98","48,70","1,68M","-4,73%"
"17.03.2021","51,12","50,45","52,45","50,03","2,26M","0,63%"
"16.03.2021","50,80","51,16","51,74","49,14","2,54M","-0,70%"
"15.03.2021","51,16","46,71","52,12","46,58","3,52M","8,50%"
"12.03.2021","47,15","47,17","47,77","45,60","2,17M","-0,67%"
"11.03.2021","47,47","46,70","47,68","45,10","2,51M","2,42%"
"10.03.2021","46,35","46,74","47,29","45,38","1,81M","-0,32%"
"09.03.2021","46,50","46,47","47,95","45,24","2,75M","1,09%"
"08.03.2021","46,00","49,12","49,21","44,75","3,32M","-7,78%"
"05.03.2021","49,88","53,25","53,51","47,20","4,32M","-5,90%"
"04.03.2021","53,01","55,00","56,60","52,41","2,90M","-4,19%"
"03.03.2021","55,33","54,59","55,85","51,84","2,44M","1,67%"
"02.03.2021","54,42","54,94","56,76","53,85","3,46M","-2,61%"
"01.03.2021","55,88","51,87","56,15","51,32","3,80M","9,53%"
"26.02.2021","51,02","50,79","53,38","49,81","4,38M","0,24%"
"25.02.2021","50,90","52,07","54,86","50,30","3,72M","-2,19%"
"24.02.2021","52,04","52,77","53,36","51,65","1,80M","-0,42%"
"23.02.2021","52,26","53,08","53,50","51,11","1,90M","-0,57%"
"22.02.2021","52,56","51,33","53,50","49,48","2,57M","-0,40%"
"19.02.2021","52,77","50,87","52,90","50,10","2,50M","4,27%"
"18.02.2021","50,61","50,79","52,75","49,92","2,25M","0,24%"
"17.02.2021","50,49","51,36","51,90","49,74","1,43M","-1,02%"
"12.02.2021","51,01","48,84","51,23","47,88","2,14M","4,00%"
"11.02.2021","49,05","49,39","50,59","48,64","2,20M","0,51%"
"10.02.2021","48,80","51,91","53,97","48,60","4,50M","-5,52%"
"09.02.2021","51,65","53,41","53,41","49,63","3,36M","-3,39%"
"08.02.2021","53,46","50,51","53,75","50,28","2,09M","5,84%"
"05.02.2021","50,51","52,43","53,81","50,02","2,59M","-3,61%"
"04.02.2021","52,40","52,59","53,79","50,30","3,57M","0,85%"
"03.02.2021","51,96","47,21","52,26","46,37","4,63M","10,55%"
"02.02.2021","47,00","42,80","47,28","42,66","3,86M","10,80%"
"01.02.2021","42,42","44,34","44,59","42,11","2,07M","-2,62%"
"29.01.2021","43,56","43,49","45,15","43,00","2,84M","-0,62%"
"28.01.2021","43,83","41,50","43,90","40,24","3,77M","5,69%"
"27.01.2021","41,47","46,49","47,49","41,26","3,50M","-11,33%"
"26.01.2021","46,77","45,11","46,90","44,70","1,99M","3,93%"
"22.01.2021","45,00","43,97","45,46","43,20","1,76M","0,36%"
"21.01.2021","44,84","46,51","46,79","44,21","2,10M","-2,84%"
"20.01.2021","46,15","45,98","46,93","43,69","3,85M","2,10%"
"19.01.2021","45,20","44,44","48,50","44,10","6,69M","2,80%"
"18.01.2021","43,97","42,15","44,98","41,94","2,93M","5,95%"
"15.01.2021","41,50","42,60","44,17","41,42","1,93M","-3,71%"
"14.01.2021","43,10","41,93","43,27","41,05","1,90M","3,61%"
"13.01.2021","41,60","41,85","42,75","41,25","2,21M","-0,10%"
"12.01.2021","41,64","42,22","43,86","41,01","3,70M","-0,50%"
"11.01.2021","41,85","38,86","41,99","38,72","4,49M","4,21%"
"08.01.2021","40,16","33,77","40,93","33,60","8,47M","20,46%"
"07.01.2021","33,34","30,94","33,44","30,92","3,13M","7,93%"
"06.01.2021","30,89","31,59","32,01","30,89","1,29M","-1,75%"
"05.01.2021","31,44","32,19","32,92","31,22","1,66M","-2,39%"
"04.01.2021","32,21","33,38","33,81","31,97","1,31M","-2,10%"
"30.12.2020","32,90","34,30","34,45","32,56","2,48M","-3,24%"
"29.12.2020","34,00","34,08","34,95","33,55","1,68M","-0,23%"
"28.12.2020","34,08","33,58","34,37","32,92","1,46M","2,43%"
"23.12.2020","33,27","33,92","34,55","33,14","3,34M","-1,57%"
"22.12.2020","33,80","32,83","33,96","32,68","2,62M","3,55%"
"21.12.2020","32,64","30,93","33,25","30,40","3,09M","3,16%"
"18.12.2020","31,64","32,51","33,44","31,64","3,40M","-2,65%"
"17.12.2020","32,50","31,15","32,66","31,15","2,13M","4,50%"
"16.12.2020","31,10","30,20","31,28","29,82","1,86M","3,22%"
"15.12.2020","30,13","29,37","30,99","29,10","2,00M","2,87%"
